N,backend,solver,repeat,time_s
180,cpu,multigrid,19,0.668404083
180,cpu,multigrid,20,0.9150925
200,cpu,multigrid,1,0.824916542
200,cpu,multigrid,2,0.86257425
200,cpu,multigrid,3,0.96378825
200,cpu,multigrid,4,0.852412542
200,cpu,multigrid,5,0.843081208
200,cpu,multigrid,6,0.833242417
200,cpu,multigrid,7,0.80771225
200,cpu,multigrid,8,0.830449625
200,cpu,multigrid,9,0.825813083
200,cpu,multigrid,10,0.834853166
200,cpu,multigrid,11,1.067187167
200,cpu,multigrid,12,0.829517208
200,cpu,multigrid,13,0.858385
200,cpu,multigrid,14,0.880843
200,cpu,multigrid,15,0.875068375
200,cpu,multigrid,16,0.835834833
200,cpu,multigrid,17,0.82551825
200,cpu,multigrid,18,0.910367334
200,cpu,multigrid,19,0.855951791
200,cpu,multigrid,20,0.850359041
40,metal,rb_sor,1,1.256171083
40,metal,rb_sor,2,1.084145625
40,metal,rb_sor,3,1.085328209
40,metal,rb_sor,4,1.006703125
40,metal,rb_sor,5,1.044562792
40,metal,rb_sor,6,1.16205375
40,metal,rb_sor,7,1.0581725
40,metal,rb_sor,8,1.06045625
40,metal,rb_sor,9,1.09159925
40,metal,rb_sor,10,1.089179709
40,metal,rb_sor,11,1.135925292
40,metal,rb_sor,12,1.207105958
40,metal,rb_sor,13,1.206216
40,metal,rb_sor,14,1.165461959
40,metal,rb_sor,15,1.012587834
40,metal,rb_sor,16,1.075232542
40,metal,rb_sor,17,1.066619959
40,metal,rb_sor,18,1.0200055
40,metal,rb_sor,19,0.987807583
40,metal,rb_sor,20,1.314673083
60,metal,rb_sor,1,0.950826375
60,metal,rb_sor,2,0.990677834
60,metal,rb_sor,3,0.934793041
60,metal,rb_sor,4,0.995289
60,metal,rb_sor,5,0.907936334
60,metal,rb_sor,6,1.470324833
60,metal,rb_sor,7,0.927838334
60,metal,rb_sor,8,1.011564375
60,metal,rb_sor,9,1.063009292
60,metal,rb_sor,10,0.926753417
60,metal,rb_sor,11,1.024220333
60,metal,rb_sor,12,1.014653125
60,metal,rb_sor,13,0.917701
60,metal,rb_sor,14,1.031806375
60,metal,rb_sor,15,0.936099083
60,metal,rb_sor,16,1.1737205
60,metal,rb_sor,17,1.005531792
60,metal,rb_sor,18,0.84451125
60,metal,rb_sor,19,0.910649833
60,metal,rb_sor,20,0.958649125
80,metal,rb_sor,1,0.783691833
80,metal,rb_sor,2,0.793639833
80,metal,rb_sor,3,0.986081792
80,metal,rb_sor,4,0.946864458
80,metal,rb_sor,5,0.779347458
80,metal,rb_sor,6,0.770236916
80,metal,rb_sor,7,0.756356292
80,metal,rb_sor,8,0.779415
80,metal,rb_sor,9,0.774096666
80,metal,rb_sor,10,0.863327917
80,metal,rb_sor,11,0.909799959
80,metal,rb_sor,12,0.894321833
80,metal,rb_sor,13,0.944782417
80,metal,rb_sor,14,2.203222125
80,metal,rb_sor,15,0.910119
80,metal,rb_sor,16,0.905645583
80,metal,rb_sor,17,0.979277333
80,metal,rb_sor,18,0.866183208
80,metal,rb_sor,19,0.800530833
80,metal,rb_sor,20,0.902152709
100,metal,rb_sor,1,0.810975833
100,metal,rb_sor,2,1.037819458
100,metal,rb_sor,3,0.797592917
100,metal,rb_sor,4,0.8135165
100,metal,rb_sor,5,0.813929833
100,metal,rb_sor,6,0.8074395
100,metal,rb_sor,7,0.811995542
100,metal,rb_sor,8,1.005418833
100,metal,rb_sor,9,0.806555458
100,metal,rb_sor,10,0.819116542
100,metal,rb_sor,11,0.797091167
100,metal,rb_sor,12,0.7959985
100,metal,rb_sor,13,1.478765167
100,metal,rb_sor,14,0.804756583
100,metal,rb_sor,15,0.804000542
100,metal,rb_sor,16,0.813325917
100,metal,rb_sor,17,0.80871275
100,metal,rb_sor,18,0.847477542
100,metal,rb_sor,19,0.807866625
100,metal,rb_sor,20,0.968633333
120,metal,rb_sor,1,0.808029833
120,metal,rb_sor,2,0.807860709
120,metal,rb_sor,3,0.942900292
120,metal,rb_sor,4,0.811914875
120,metal,rb_sor,5,0.816299667
120,metal,rb_sor,6,0.820784708
120,metal,rb_sor,7,0.914724167
120,metal,rb_sor,8,0.808803208
120,metal,rb_sor,9,0.808595042
120,metal,rb_sor,10,0.905535459
120,metal,rb_sor,11,0.807959459
120,metal,rb_sor,12,0.8074895
120,metal,rb_sor,13,0.893592042
120,metal,rb_sor,14,0.808911875
120,metal,rb_sor,15,0.825442
120,metal,rb_sor,16,0.899384958
120,metal,rb_sor,17,0.809253708
120,metal,rb_sor,18,0.8078705
120,metal,rb_sor,19,0.887005584
120,metal,rb_sor,20,0.821786125
140,metal,rb_sor,1,0.834252125
140,metal,rb_sor,2,1.03564775
140,metal,rb_sor,3,0.832010291
140,metal,rb_sor,4,0.829698333
140,metal,rb_sor,5,0.938814
140,metal,rb_sor,6,0.8247795
140,metal,rb_sor,7,0.978267333
140,metal,rb_sor,8,0.822217292
140,metal,rb_sor,9,0.849172792
140,metal,rb_sor,10,1.638345042
140,metal,rb_sor,11,0.819651291
140,metal,rb_sor,12,1.200032125
140,metal,rb_sor,13,0.945042375
140,metal,rb_sor,14,0.998907833
140,metal,rb_sor,15,1.371617791
140,metal,rb_sor,16,0.918709459
140,metal,rb_sor,17,0.92545425
140,metal,rb_sor,18,0.932071167
140,metal,rb_sor,19,0.984554
140,metal,rb_sor,20,0.837999667
160,metal,rb_sor,1,0.873200375
160,metal,rb_sor,2,1.045962958
160,metal,rb_sor,3,1.043520291
160,metal,rb_sor,4,0.987176875
160,metal,rb_sor,5,1.232934875
